external_id,source,date,cost_usd,repo,pr_number,team_id,user_id,trace_id
us-plat-101a,cursor,2026-05-07,4.50,acme/platform-api,101,eng-platform,alex@acme.com,trace-plat-101
us-plat-102a,cursor,2026-05-11,3.20,acme/platform-api,102,eng-platform,alex@acme.com,trace-plat-102
us-plat-103a,cursor,2026-05-17,5.10,acme/platform-api,103,eng-platform,alex@acme.com,trace-plat-103
us-plat-104a,cursor,2026-05-27,2.80,acme/platform-api,104,eng-platform,alex@acme.com,trace-plat-104
us-mob-201a,cursor,2026-05-08,6.00,acme/mobile-app,201,eng-mobile,sam@acme.com,trace-mob-201
us-mob-202a,cursor,2026-05-14,4.40,acme/mobile-app,202,eng-mobile,sam@acme.com,trace-mob-202
us-mob-203a,cursor,2026-05-21,3.90,acme/mobile-app,203,eng-mobile,sam@acme.com,trace-mob-203
us-mob-204a,cursor,2026-05-28,7.20,acme/mobile-app,204,eng-mobile,sam@acme.com,trace-mob-204
us-data-301a,cursor,2026-05-09,8.50,acme/data-pipeline,301,eng-data,jordan@acme.com,trace-data-301
us-data-302a,cursor,2026-05-16,5.60,acme/data-pipeline,302,eng-data,jordan@acme.com,trace-data-302
us-data-303a,cursor,2026-05-23,4.10,acme/data-pipeline,303,eng-data,jordan@acme.com,trace-data-303
us-data-304a,cursor,2026-05-29,6.30,acme/data-pipeline,304,eng-data,jordan@acme.com,trace-data-304
us-noise-org,cursor,2026-05-05,12.00,,,,unassigned,admin@acme.com,
us-wrong-repo,cursor,2026-05-14,8.00,acme/legacy-monolith,,eng-platform,alex@acme.com,
us-off-window,cursor,2026-04-01,2.00,acme/platform-api,101,eng-platform,alex@acme.com,
us-mob-201b,openai,2026-05-08,1.50,acme/mobile-app,201,eng-mobile,sam@acme.com,trace-mob-201b
us-plat-103b,openai,2026-05-18,2.20,acme/platform-api,103,eng-platform,alex@acme.com,trace-plat-103b
us-data-302b,anthropic,2026-05-16,3.00,acme/data-pipeline,302,eng-data,jordan@acme.com,trace-data-302b
